planta,fecha_evento,empresa,tipo_evento,descripcion_incidente,danos_reales_o_potenciales,fuente_peligro,es_verificado,fuente_archivo
GALLETERA & INSTANTANEOS,2026-02-21,ALICORP SAA,INCIDENTE,"[NOMBRE] de Senati realizaba labores de alimentación de granel de galletas hacia los magazines de la envasadora C9, y al momento de subir la torre apilada de granel su tercer dedo entra en contacto con la varilla de acomodo causándole una herida superficial.",,,,tablero_2025_2026
PREDIO CENTRAL,2026-02-20,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 17:30 la trabajadora maniefiesta que siente dolor muscular en el hombro izquierdo, esto debido al sobre esfuerzo y trabajo repetitivo propio del proceso de estuchado en el area de instantaneos.",,,,tablero_2025_2026
PREDIO CALLO,2026-02-23,ALICORP SAA,INCIDENTE,"Aproximadamente a las 21:25 horas, un operador sufre un corte superficial en el quinto dedo de la mano derecha, mientras realiza la limpieza de la mariposa de la máquina encremadora A2 de L3 durante el cambio de producto. El contacto se produjo con un aspa de dicha mariposa.",,,,tablero_2025_2026
MASTERBREAD NANA,2026-02-23,MASTERBREAD,INCIDENTE,"El operador se encontraba en la planta piloto realizando labores de limpieza en una zaranda vibratoria. Para retirar el agua acumulada, procedió a sopletear aire a una llanta de la zaranda utilizando directamente la manguera de aire, sin hacer uso de la pistola reguladora de presión. Durante esta actividad, la llanta se desprendió de manera repentina y una de sus partes impactó los dedos índice y medio de la mano izquierda del operador.",,,,tablero_2025_2026
MOLINO FAUCETT,2026-02-24,ALICORP SAA,INCIDENTE,"Siendo las 01:50 p.m., el operador se encontraba en el segundo piso del Molino C, realizando su ronda correspondiente al cierre de turno. Durante dicha inspección, se percató de que la tapa de una tubería se encontraba fuera de su posición. Al proceder a colocarla nuevamente, la tubería se sale de su posición, generando un golpe en el brazo derecho del trabajador. ",,,,tablero_2025_2026
MASTERBREAD NANA,2026-02-24,MASTERBREAD,INCIDENTE,"Aproximadamente a las 13:00 horas, el operador de envasado estaba cambiando de lámina, al momento de introducir su mano derecha para regular el sensor de la fotocélula roza con el borde de la estructura metálica de la envasadora el cual le generó un raspón en la parte superficial en dorso de la mano derecha. ",,,,tablero_2025_2026
CD HUACHIPA,2026-02-24,ALICORP SAA,INCIDENTE,"En CD Huachipa, alrededor de las 05:00 pm se registró un incidente de alto potencial en al amacén con ubicación PA-06-076-5. El colaborador, quien realizaba labores de almacenamiento utilizando un apilador eléctrico (ETV), reportó de manera inmediata una molestia ocular tras colocar el pallet en su posición final, manifestando la posible presencia de un agente externo en el ojo.",,,,tablero_2025_2026
MOLINO CALLAO,2026-02-24,ALICORP SAA,INCIDENTE,"Durante labores de limpieza de la tolva en el área de [NOMBRE], el operario, al manipular la aspiradora para realizar la actividad de limpieza respectiva, percibe el paso de corriente eléctrica, motivo por el cual detiene inmediatamente la operación.",,,,tablero_2025_2026
PREDIO CALLAO,2026-02-26,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 12:50 horas la colaboradora se encontraba acomodando galletas antes de ser empaquetadas por la pack C6, cuando de pronto se percata que el dedo indice de su mano derecha presenta un ligero corte. Al revisar el entorno se evidencia que una plancha de la faja presenta un pequeño borde filoso.",,,,tablero_2025_2026
CD LATAM 400,2026-02-24,ALICORP SAA,INCIDENTE," El día 24/02 a las 00:30, el operador de ETV se encontraba dirigiéndose para un proceso de reposición en el pasillo 18. En este pasillo, un personal de la empresa Cleaned se encontraba trapeando el piso y por omisión, no colocó la señalética correcta. Esto hizo que el ETV pierda adherencia con el piso y tenga un impacto con el protector de los racks. No hubo daños personales y se revisó el equipo en el instante. Actualmente nos encontramos en proceso de investigación.",,,,tablero_2025_2026
PREDIO CALLAO,2026-02-19,ALICORP SAA,INCIDENTE,"Aproximadamente a las 20:25 horas del viernes 27 de febrero, una operadora tercera sufrió un golpe en el quinto dedo de la mano izquierda mientras realizaba la actividad de alimentación de galleta. La lesión ocurrió por contacto con el magazín metálico de máquina envasadora D2.",,,,tablero_2025_2026
SIDSUR,2026-02-27,ALICORP SAA,INCIDENTE,"El colaborador se encontraba realizando labores de abastecimiento de insumos en el ingreso del almacén de materias primas, al momento de cruzar la cortina plástica de la entrada, la stocka impacta la parte baja
del chasis con una parte metálica que no se encontraba a nivel de piso, en ese momento el colaborar siente un tirón en la parte posterior de la espalda, comunicando de lo sucedido a la jefatura inmediata.",,,,tablero_2025_2026
PREDIO CALLAO,2026-02-28,ALICORP SAA,INCIDENTE,"colaboradora refiere que estaba alimentado galleta en la plataforma de línea 2 y bajo a dejar bandejas vacías, al momento de subir a la plataforma de 25 cm aprox, se resbala y golpea su tibia izquierda contra el filo de plataforma. Se trasporta al tópico y se realiza limpieza de parte afectada.",,,,tablero_2025_2026
COPSA,2026-02-28,ALICORP SAA,INCIDENTE,"El día 28/02/26, alrededor de las 9:00 p.m se registró un incidente en el área de Frascos durante el traslado de una paleta con baldes que contenían base vegetal para la preparación de salsas. La carga estaba siendo movilizada con una estoca manual por la rampa cuando, durante la maniobra de ascenso, la paleta perdió estabilidad, ocasionando la caída de varios baldes y el derrame del producto sobre el piso. ",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-05,ALICORP SAA,INCIDENTE,"El trabajador Operario de producción se encontraba saliendo del vestuario de planta Galletera, y al momento de intentar abrir la puerta, sujeta con su mano izquierda uno de los extremos de la barra antipánico y empuja con fuerza causándole un corte en el tercer dedo de la mano izquierda.",,,,tablero_2025_2026
DETERGENTE CALLAO,2026-03-04,ALICORP SAA,ALTO POTENCIAL,"Durante la operación de secado de detergentes, se identificó una fuga leve de GLP aguas abajo del vaporizador (ubicado en el sector exterior de la planta). Al detectar la fuga y flama leve, el personal de mantenimiento que se encontraba en el área hace uso del extintor cercano.",,,True,tablero_2025_2026
MOLINO PAITA,2026-03-05,ALICORP SAA,ALTO POTENCIAL,"Durante el recorrido de uno de los operarios de planta percibió un olor a quemado en el sótano 2 de molino. Cuando se acerca, observa que en la guarda de la faja del molino martillo salía humo, inmediatamente da aviso al coordinador de molino quienes en conjunto utilizan uno de los extintores más cercanos y controlan el conato",,,True,tablero_2025_2026
LURIN 1,2026-03-05,INTRADEVCO,INCIDENTE,"Durante la producción de ácido clorhídrico (HCl), a las 15:03 h del día jueves 05/03, se produjo una combustión en el quemador de la torre de HCl, ubicado en el cuarto nivel. De manera inmediata se activó la parada de emergencia, deteniendo la producción y suspendiendo el ingreso de las materias primas (cloro e hidrógeno). Tras esta acción, la combustión se detuvo por completo",,,,tablero_2025_2026
LURIN 2,2026-03-03,INTRADEVCO,ALTO POTENCIAL,"El 3 de marzo, en el área de [NOMBRE], durante la elaboración del granel Desatorador de Cocina, se realizó el vaciado de solución amoniacal , lo que generó la emisión de vapores de amoniaco (NH₃). Debido a que el sistema de ventilación del área tiene la salida de aire conectada a las rejillas del área de Envasado de las zonas contiguas, los vapores se dispersaron hacia dichas áreas, provocando malestar en cuatro colaboradoras.",,,True,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-06,ALICORP SAA,INCIDENTE,"Aproximadamente a las 11:30 horas, un colaborador que se encontraba en proceso de Inducción en [NOMBRE], presentó episodio de mareo mientras procedía a trasladarse a los SSHH, durante este traslado presentó inestabilidad, perdiendo el equilibrio y descendiendo al suelo, generándose contacto de rodilla izquierda con la estuctura del piso de un escalón.",,,,tablero_2025_2026
DETERGENTES LURIN,2026-03-06,INTRADEVCO,INCIDENTE,"Siendo aproximadamente las 10:00 a.m., la colaboradora [NOMBRE], perteneciente al área de Lavavajillas, se encontraba realizando la actividad de encajado en el área de envasado Lavavajillas en pote. Durante este proceso la colaboradora coloca manualmente la caja en la máquina encintadora, en ese momento se percata que el guante es atrapado entre la caja y los rodillos guiadores, ocasionando ligero aplastamiento en el dedo anular de la mano derecha. ",,,,tablero_2025_2026
SIDSUR,2026-03-07,ALICORP SAA,ALTO POTENCIAL,"Siendo las 11:40 am, en el primer piso de planta de galletería el [NOMBRE], reporta al área de mantenimiento (personal electricista) una parada del equipo del horno N°1, el coordinador apertura las compuertas de la chimenea en la salida del horno para disipar el humo y el olor a quemado en la sala. Alrededor de unos minutos se acerca el personal de mantenimiento para realizar la atención de la falla en ese momento el electrico activa los motores que le dan movimiento a la malla, llegando al punto de salida un tramo de galleta carbonizada, al inyectar el oxigeno del ambiente se genera un amago de incendio, el Coordinador retira al personal que estaba soportando en la salida del horno para hacer uso de extintor PQS mas cercano al punto.",,,True,tablero_2025_2026
LURIN 2,2026-03-09,INTRADEVCO,INCIDENTE,"Siendo aproximadamente  las 04:08 p.m. un colaborador del área de Almacenes, se encontraba realizando el cambio de baterías. Durante este proceso, con la ayuda de un order picker, trasladaba la batería desde la sala de baterías al almacén 01, cuando la estación perdió el equilibrio y cayó lateralmente.",,,,tablero_2025_2026
SIDSUR,2026-03-10,ALICORP SAA,INCIDENTE,"El turno tarde en el puesto de mesa de Inspección en la línea 2; en la faja de salida de la envasadora primaria SIG5 se encontraban 2 operarias de producción realizando el acomodo de Galletas, en el momento del ordenamiento de galletas, la operaria sin percatarse sobrepasa el área de inspección e ingreso la mano a la altura de la zona de los puentes, para levantar unos paquetes de galletas que se encontraba generando trabamiento del flujo continuo, sufriendo una presión del antebrazo izquierdo entre la galleta en movimiento y puente metálico; en ese momento la operaria retira su mano de manera inmediata y procede a reportar el evento.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-10,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 01:00 horas, en la zona de aduana, un personal tercero (Prolabora), acude a retirar papel toalla para secarse las manos, y no se percata que habia un tornillo, este al tener contacto con su mano, le genera un pequeño corte.",,,,tablero_2025_2026
LURIN 1,2026-03-09,INTRADEVCO,INCIDENTE,"Durante el despacho de hipoclorito de sodio al 8% en el primer turno del día 09/03, al finalizar la carga, el operador panelista olvidó retirar la tubería de conexión hacia la cisterna. Posteriormente, el vehículo avanzó para realizar el cierre de la tapa, lo que ocasionó la ruptura de la tubería.",,,,tablero_2025_2026
NANA,2026-03-10,MASTERBREAD,ALTO POTENCIAL,"El 10 de marzo, en la Casa de Fuerza, se registró un evento de descarga de amoniaco (NH₃) debido a la activación de la válvula de seguridad. Como consecuencia, el gas amoniaco fue liberado hacia áreas aledañas, lo que generó una alerta inmediata.",,,True,tablero_2025_2026
LURIN 3,2026-03-11,INTRADEVCO,INCIDENTE,"A las 10:00 a. m. del miércoles 11 de marzo, durante el arranque de planta, se observó presencia de humo en el tercer lecho del convertidor de SO₂ a SO₃ de la planta de sulfonación 2. El humo provenía de un trapo que quedó en la zona luego de un trabajo de soldadura realizado en ese punto.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-12,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 03:00 horas, en la linea 2 una aprendiz que realizaba la alimentacion de galleta de casino menta, golpea su rodilla con un fierro que forma parte de la estructura de la nueva linea 2, el golpe fue leve pero genero un dolor que causo malestar en la persona involucrada.",,,,tablero_2025_2026
CD LATAM 400,1900-03-11,ALICORP,INCIDENTE,"Durante la operación con un order picker, el colaborador se ubica al lado izquierdo del equipo, quedando fuera de la posición central establecida como segura. Al realizar la maniobra de giro para ingresar al pasillo 5, el trabajador intenta descender
colocando el pie izquierdo en el suelo. Sin embargo, manifiesta que “sin querer, con el brazo derecho presiona el acelerador”, lo que provoca que el equipo continue desplazándose en el sentido del giro. Como consecuencia, el pie izquierdo queda aprisionado entre la carcasa de la transpaleta y el suelo, generándose un atrapamiento en la zona del empeine.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-12,ALICORP SAA,INCIDENTE,"El día 12 de marzo durante los trabajos de instalación del segundo vaporizador para el abastecimiento de GLP a [NOMBRE], ejecutados por la empresa BEGAS INGENIEROS SAC (contratista de SOLGAS), se produjo un evento de ignición durante una maniobra de venteo de remanente de GLP en tuberías, lo que generó una irritación en la cara del operador que realizaba el venteo.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-11,ALICORP SAA,INCIDENTE,"A las 14:50, el operador de abastecimiento de botellas para esencia de vainilla (Instantáneos) sufrió un raspón superficial en el brazo izquierdo. El evento fue reportado al día siguiente por premura al cierre de turno. Según protocolo, el operador fue atendido en tópico, sin presentar restricciones ni descanso médico. Como acción inmediata, se limaron las asperezas de la superficie rugosa identificada. Sin mayores consecuencias.",,,,tablero_2025_2026
COPSA,2026-03-13,ALICORP SAA,INCIDENTE,"Durante la actividad de reposición de nitrógeno líquido (LN₂) al tanque pulmón, a una temperatura aproximada de -196 °C, realizada por el proveedor Linde, el operador encargado del abastecimiento detectó la presencia de una fisura en la superficie del tanque. A través de dicha fisura se evidenciaba una fuga de nitrógeno. Tras la identificación de la anomalía, se emitió la alerta.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-14,ALICORP SAA,INCIDENTE,"Aproximadamente a las 21:50 horas, una aprendiz sufrió una presión en el tercer dedo de la mano izquierda al intentar sentarse. Durante la maniobra, su dedo quedó atrapado momentáneamente entre la estructura metálica y el asiento, lo que generó presión sobre el dedo afectado.",,,,tablero_2025_2026
PLANTA FIDEERIA,2026-03-15,ALICORP SAA,INCIDENTE,"El colaborador se encontraba realizando verificación de los equipos de inyección de aire ubicados en la azotea. Al momento de bajar por la escalera para regresar a planta, pisa una zona en desnivel, generando una torcedura del tobillo derecho.",,,,tablero_2025_2026
COPSA,2026-03-14,ALICORP SAA,INCIDENTE,"Camión cisterna de soda caustica con placa AUQ-906 realiza maniobras en el espacio correspondiente para la descarga del químico a sus tanques de almacenamiento, al momento de realizar la maniobra el camion se posiciona cerca de las tuberías principales de petróleo, en ese momento la llanta delantera golpea la tubería de alimentación a las bombas de combustible de las acalderas ocasionando un desgarro de los hilos del acoplamiento universal y una fuga de petróleo en dicha tubería, esto ocasiona que la caldera pare su operación por baja presión.",,,,tablero_2025_2026
CD AREQUIPA,2026-03-14,ALICORP SAA,INCIDENTE,"El día lunes a las 14.02 a las 23:50 pm, el conductor de la empresa TRANSPORTES NAJEDI, V6O811 se encontraba traslandandola producción de planta galletera hacia el CD Arequipa. Al momento de estacionarse, rozó su parachoques delantero con una ruma de pallets vacíos, lo que finalmente decantó en una rajadura del mismo. ",,,,tablero_2025_2026
PLANTA FIDEERIA,2026-03-15,ALICORP SAA,INCIDENTE,"El colaborador se encontraba realizando verificación de los equipos de inyección de aire ubicados en la azotea. Al momento de bajar por la escalera para regresar a planta, pisa una zona en desnivel, generando una torcedura del tobillo derecho.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-15,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 04:00 horas, en la linea 4 un personal tercero que realizaba la alimentacion de galleta margarita, golpea su dedo de la mano con la estructura metalica del Magazzine, este golpe provoco un dolor intenso en el dedo pulgar derecho.",,,,tablero_2025_2026
DETERGENTE CALLAO,2026-03-15,ALICORP SAA,INCIDENTE,"El colaborador se encontraba realizando actividades de estiba en línea manual cuando su compañero usando una transpaleta eléctricamente asistida retira las paletas terminadas. Durante la actividad, se realiza una mala maniobra en el retiro de la paleta generando que esta se desplace en sentido opuesto e impacte en la parte inferior de la pierna del colaborador.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-17,ALICORP SAA,INCIDENTE,"Durante su primer día de labores y en proceso de aprendizaje, una colaboradora nueva presentó una molestia en los dedos índice de ambas manos mientras realizaba la función de alimentación de galletas en la línea de producción. El incidente ocurrió al momento de tomar y colocar las galletas en el punto correspondiente, generándose un roce repetitivo de los dedos con una varilla o estructura metálica del equipo, lo que ocasionó fricción directa en la zona de contacto.",,,,tablero_2025_2026
MOLINO FAUCETT,2026-03-16,ALICORP SAA,INCIDENTE,"El colaborador se encontraba en la oficina del coordinador de envasado realizando vía SAP los requerimiento del dia para el almacén, culminada esta actividad refiere que se dirigía a su zona de trabajo ubicado en el 1er piso del edificio, es ahí donde al bajar el primer tramo de escaleras resbala en uno de los peldaños y evita caerse al sostenerse de la baranda, es ahí donde al apoyar el pie izquierdo siente un dolor fuerte y al querer continuar bajando las escaleras se intensifica mas el dolor. ",,,,tablero_2025_2026
DETERGENTES LURIN,2026-03-13,INTRADEVCO,INCIDENTE,"Aproximadamente a las 03:30 h, un colaborador del área de mantenimiento realizaba la intervención de una bomba de soda cáustica debido a una falla. Durante la actividad, sufrió una salpicadura de producto que se filtró por la parte superior del calzado de seguridad, teniendo contacto con el dorso de su pie izquierdo.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-18,ALICORP SAA,INCIDENTE,"El colaborador refiere que se encontraba realizando labores de limpieza en la Línea 2 de la [NOMBRE], cuando de manera involuntaria se golpea la región lumbar (espalda baja) contra una estructura metálica / tablero del área.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-18,ALICORP SAA,INCIDENTE,"Aproximadamente a las 10:25 horas, una aprendiz reportó que la ampolla que presentaba en el dedo meñique de la mano izquierda se había reventado, ella llevaba puesto guantes. La aprendiz manifestó que desde hace 3 días venía presentando molestias debido al roce repetitivo con la superficie metálica mientras realizaba la actividad de alimentación de galleta.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-18,ALICORP SAA,INCIDENTE,"Aproximadamente a las 10:00 horas del miércoles 18 de marzo, una aprendiz reportó dolor en el pulgar y dorso de la mano izquierda. La colaboradora indicó que la molestia se presentó durante la ejecución de las actividades de alimentación de galletas en la línea 3.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-18,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 19:00 horas, en la linea 2 un colaborador presenta un dolor localizado en la region de la muñeca izquierda de intensidad leve, se evidencia hematoma en el area afectada, sin embargo el trabajador refiere no haber recibido ningun golpe al momento de sus operaciones.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-18,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 20:00 horas, en la linea de banado un colaborador presenta dolor en ambos miembros superiores, el cual limita a los movimientos de flexion, extension y elevacion, esto debido al levantamiento de bandejas y manipulacion de productos, propia de la operacion.",,,,tablero_2025_2026
CD LURIN 1,2026-03-17,INTRADEVCO,INCIDENTE,"Aproximadamente a las 14:25 hrs,el conductor [NOMBRE] de la unidad de transporte con placa 2306-PCS, tras recibir su documentación, intentó retirarse sin esperar la colocación de precintos, desobedeciendo las instrucciones del personal. Durante la intervención para redirigir la unidad, el conductor realizó una maniobra inadecuada y colisionó contra la barrera de seguridad y el CAR, provocando el desplazamiento de la estructura, la cual protege infraestructura crítica del sistema contra incendios.",,,,tablero_2025_2026
SALSAS 1 – COPSA,2026-03-19,ALICORP SAA,INCIDENTE,"El colaborador se encontraba realizando traslado de bobinas de aproximadamente 50-90 kgs, y siente un tirón en la espalda baja, siguió realizando la actividad y al mover la segunda bobina comenzó con dolor y contractura en región lumbar. El colaborador fue atendido en el tópico donde se le diagnostico [NOMBRE].",,,,tablero_2025_2026
CD DETERGENTE LURIN,2026-03-21,ALICORP SAA,INCIDENTE,"Durante la maniobra de descarga de PT en el patio de maniobras de CD2 se evidenció la caída de algunas cajas desde la parte superior de la carga, generando derrame de producto y salpicadura en el colaborador que realizaba la operación, a la altura de la cintura hacia abajo",,,,tablero_2025_2026
CD DETERGENTE LURIN,2026-03-20,ALICORP SAA,DANO MATERIAL,"Durante la operación de abastecimiento de insumos a Planta, en la maniobra de retroceso de un montacargas, se genera el impacto del equipo contra la infraestructura, ocasionando daños en la pared del área.",,,,tablero_2025_2026
SIDSUR,2026-03-21,ALICORP SAA,INCIDENTE,"El turno tarde en el puesto encajonado Línea 2 en la producción de [NOMBRE] en la encintadora de la presentación [NOMBRE] x10 packs, se tuvo un atracón en la encintadora la cuál sedio unos centimetros, desplazando el caballete cercano
al puesto de encajado, colisionando la estructura metálica con la rodilla de la persona en el puesto.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-20,ALICORP SAA,INCIDENTE,"Aproximadamente a las 14:45 horas, un operador reportó una herida en el dedo anular de la mano izquierda mientras manipulaba cajas en la zona de encajado manual de Torre 4. Al momento del incidente, el colaborador no utilizaba sus guantes de protección.",,,,tablero_2025_2026
CD LURIN 1,2026-03-19,ALICORP SAA,INCIDENTE,"El conductor [NOMBRE] (Lic. 7955369), de la unidad con placa 5350USD del proveedor de transporte COCAPATA, realizó una maniobra no autorizada dentro del patio, posicionándose por iniciativa propia en una rampa sin contar con la guía ni indicación del personal responsable, y sin verificar previamente las condiciones de seguridad como la altura de la infraestructura; esta acción insegura derivó en el impacto de la unidad contra la estructura del techo del estacionamiento, generando daños materiales y comprometiendo la seguridad del área.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-21,ALICORP SAA,INCIDENTE,"Aproximadamente a las 12:50 horas, un operador sufrió un corte superficial en el cuarto dedo de la mano derecha mientras realizaba la alimentación de galleta en la Torre 2.",,,,tablero_2025_2026
PLANTA COCHABAMBA,2026-03-17,ALICORP BOLIVIA,INCIDENTE,"En fecha martes 17 de marzo de 2026, a horas 04:00 a.m., se registró lluvia intensa en la ciudad de Cochabamba, con una precipitación pluvial de 135 mm (135 L/m²), provocando inundaciones en diferentes sectores de la ciudad. Este evento también afectó a [NOMBRE], registrándose además de la lluvia un corte de energía eléctrica de origen externo, lo cual ocasionó la parada de los procesos de la operación.",,,,tablero_2025_2026
ATP MOLINO CALLAO,2026-03-23,ALICORP SAA,INCIDENTE," Aproximadamente a las 14.22 p.m, el colaborador de [NOMBRE] con 1 año 09 Meses laborando y 5 años de experiencia como técnico vertical; se encontraba realizando labores de limpieza (barrido) en la cubierta del almacén C, cuando  se bloqueó el sistema anticaída (ASAP) del trabajador. Al detenerse para desbloquear el sistema, permaneció próximo a la zona de trabajo de su compañero, produciéndose el impacto del extremo del mango de la escoba contra su ceja derecha.",,,,tablero_2025_2026
NANA,2026-03-21,MASTERBREAD,INCIDENTE,"Aproximadamente a las 04:00 horas, la operaria de empacado (Manpower) estaba en el llenado de caja manual y al colocar las bolsas a la caja su mano roza con la caja, y se genera un pequeño golpe al borde las uñas.",,,,tablero_2025_2026
ALMACEN DETERGENTES CALLAO,2026-03-25,ALICORP SAA,DANO MATERIAL,"Aproximadamente a las 12:30 p. m., el operador de montacargas del almacén se encontraba realizando el despacho de paletas a planta cuando, durante una maniobra inadecuada, las uñas del equipo impactaron contra la esquina de la base del almacén, ocasionando daños en la infraestructura",,,,tablero_2025_2026
MOLINO CALLAO,2026-03-24,ALICORP SAA,INCIDENTE,"Aproximadamente a las 04:30 pm, el técnico se encontraba retirando un rollo del caballete de transito, en el segundo nivel, en la maniobra observa que el rollo se balancea y coloca la mano derecha para sujetar el rollo, en ese instante su dedo meñique es presionado entre la estructura del caballete y el rollo.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-25,ALICORP SAA,INCIDENTE,"Siendo aproximadamente las 09:00 horas, en la linea 2 un colaborador se econtraba realizando cambio de formato de producto, y al momento de bajar, pisa una banca que sirve de soporte para subir la plataforma principal, pues este al no estar fija se ha movido con la fuerza de la presion del pie, esto provoca una caida a desnivel ocasionando un golpe en la pierna y brazo.",,,,tablero_2025_2026
DETERGENTE LURIN,2026-03-26,INTRADEVCO,INCIDENTE,"El colaborador afectado se encontraba operando un transpaleta eléctrico cuando el equipo se detuvo repentinamente, provocando que su cuerpo se desplace hacia adelante, y se golpee el dedo meñique izquierdo contra el timón del equipo.",,,,tablero_2025_2026
DETERGENTE LURIN,2026-03-27,INTRADEVCO,INCIDENTE,"El colaborador afectado se encontraba realizando labores de apilamiento de producto en paletas, ubicado entre dos de ellas. En ese momento, el operador del transpaleta introdujo las uñas del equipo en la paleta situada detrás del colaborador; estas se trabaron a mitad del ingreso, generando un desplazamiento inesperado que impactó su pie y le ocasionó molestias en la zona afectada.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-29,ALICORP SAA,INCIDENTE,"Siendo la 01:30 a.m. el Aprendiz de Senati se encontraba realizando labores de alimentación de granel Casino desde la mesa de acomodo de línea 2 hacia los magazines de la envasadora Torre L2B, y de pronto se percata que hay una aglomeración de granel entre las guías de acomodo y procede a realizar el desatoro de manera manual con su mano derecha, durante esta acción su tercer dedo fricciona contra un componente metálico (perno y tuerca) causándole una leve herida.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-30,ALICORP SAA,INCIDENTE,"Aproximadamente a las 18:00 horas, el aprendiz CAPE se encontraba realizando labores de alimentación en la Línea 1. Durante el cambio de puesto, decidió asistir a una compañera para ayudarla a subir a la plataforma de trabajo. En ese momento, al apresurarse en jalar la plataforma, esta se desplazó de manera brusca, ocasionando un golpe entre la plataforma y la estructura fija.",,,,tablero_2025_2026
DETERGENTES LURIN,2026-03-29,INTRADEVCO,ALTO POTENCIAL,"Alrededor de las 11:00 a. m. del 29/03, durante la operación de batido de detergente, se registró el rebalse de slurry desde el tanque autolimpiante, ocasionando derrame sobre la estructura y el piso. ",,,True,tablero_2025_2026
LURIN 2,2026-03-26,INTRADEVCO,INCIDENTE,"El 26 de marzo, en la [NOMBRE] de Intradevco, el colaborador técnico mecánico de mantenimiento sufrió la exposición de polvo en el ojo izquierdo mientras realizaba desmontaje de maquinaria sin usar lentes de protección. No presentó síntomas inmediatos y continuó trabajando sin reportar el incidente.",,,,tablero_2025_2026
DETERGENTE LURIN,2026-03-27,INTRADEVCO,INCIDENTE,"El colaborador afectado se encontraba realizando labores de apilamiento de producto en paletas, ubicado entre dos de ellas. En ese momento, el operador del transpaleta introdujo las uñas del equipo en la paleta situada detrás del colaborador; estas se trabaron a mitad del ingreso, generando un desplazamiento inesperado que impactó su pie y le ocasionó molestias en la zona afectada.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-03-29,ALICORP SAA,INCIDENTE,"Siendo la 01:30 a.m. el Aprendiz de Senati se encontraba realizando labores de alimentación de granel Casino desde la mesa de acomodo de línea 2 hacia los magazines de la envasadora Torre L2B, y de pronto se percata que hay una aglomeración de granel entre las guías de acomodo y procede a realizar el desatoro de manera manual con su mano derecha, durante esta acción su tercer dedo fricciona contra un componente metálico (perno y tuerca) causándole una leve herida.",,,,tablero_2025_2026
DETERGENTE LURIN,2026-03-29,INTRADEVCO,INCIDENTE,"Alrededor de las 11:00 a. m. del 29/03, durante la operación de batido de detergente, se registró el rebalse de slurry desde el tanque autolimpiante, ocasionando derrame sobre la estructura y el piso. ",,,,tablero_2025_2026
DETERGENTE LURIN,2026-03-26,INTRADEVCO,INCIDENTE,"El colaborador afectado se encontraba operando un transpaleta eléctrico cuando el equipo se detuvo repentinamente, provocando que su cuerpo se desplace hacia adelante, y se golpee el dedo meñique izquierdo contra el timón del equipo.",,,,tablero_2025_2026
LURIN 2,2026-03-30,INTRADEVCO,INCIDENTE,"El 26 de marzo, en la [NOMBRE] de Intradevco, el colaborador técnico mecánico de mantenimiento sufrió la exposición de polvo en el ojo izquierdo mientras realizaba desmontaje de maquinaria sin usar lentes de protección. No presentó síntomas inmediatos y continuó trabajando sin reportar el incidente.",,,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2026-04-01,ALICORP SAA,INCIDENTE,"Aproximadamente a las 10:15 am, el operario de producción se encontraba realizando labores de sellado de bolsas en la línea de puré y almidones. Durante la operación, sintió calor y observó que el ventilador no estaba direccionado hacia su posición de trabajo, por lo que decidió mover el ventilador con la mano, lo que generó un contacto con las hélices y su dedo ocasionando un leve corte en el pulgar. ",,,,tablero_2025_2026
