planta,fecha_evento,empresa,tipo_evento,descripcion_incidente,danos_reales_o_potenciales,fuente_peligro,es_verificado,fuente_archivo
PREDIO CENTRAL,2025-05-21,ALICORP,DERRAME DE PRODUCTO QUIMICO,"El día 21/05, a las 17:45 p.m., se reportó un incidente de alto potencial en la zona de tanques de [NOMBRE], ubicado en el predio Callao.
El operador del área de [NOMBRE], que está al costado de la zona de tanques, nos alerta sobre un derrame de [NOMBRE] en la zona de descarga del insumo. Al realizar la consulta al operador de tanques, nos comenta que la causa preliminar puede haberse originado debido a que el conductor ha regado con agua la zona para limpiar su manguera con la que descarga el insumo y no ha dejado en buenas condiciones el espacio. ",Potencial daño al medio ambiente y personales,SUSTANCIA QUIMICA,,tablero_2025_2026
GALLETERA & INSTANTANEOS,2025-05-23,ALICORP,INCIDENTE,"El día 23 de mayo a las 07:14 a.m., se reportó un incidente con alto potencial de riesgo en el área de elaboración L1, en la planta de galletas. Durante la operación de elevación de una artesa (depósito de masa) hacia la tolva del laminador, el operador masero olvido asegurar correctamente el manubrio de la artesa antes de ejecutar la elevación.
Como consecuencia de esta omisión, el manubrio cayó y quedó apoyado contra la puerta del equipo, generando un punto de palanca entre la artesa y dicha puerta. El operador, al no mantener ojo y mente en la actividad, no se dio cuenta de la condición anómala. Esto provocó la deformación de las uñas de sujeción del sistema elevador de artesas y el deterioro del mecanismo de elevación.
Ante la situación, el equipo de mantenimiento y seguridad acudió de inmediato al área para acordonarla, asegurar la zona y proceder con el descenso controlado de la artesa que había quedado suspendida.",Potencial daño material o personal,PARTE DE EQUIPO,,tablero_2025_2026
SALSAS,2025-05-30,ALICORP,INCIDENTE,"Operador de manufactura abre el caño del bidón de aceite de mostaza al 10% para hacer el fraccionamiento en un jarrón. En ese momento, el operador deja el caño abierto y se dirige a realizar otra actividad, segundos después regresa y se percata de que se había producido el derrame de aprox. 8 litros de aceite de mostaza. Se retiran del lugar, dejando los ambientes ventilados e ingresa el inspector de seguridad para atender la emergencia.",Potencial daño material o personal,SUSTANCIA QUIMICA,,tablero_2025_2026
CHORRILLOS,2025-05-30,INTRADEVCO,DANO MATERIAL,"El día de hoy a las 10:45 horas, se reportó un incidente con daño material en la zona de picking del APT Chorrillos. El operador de transpaleta eléctrica mientras trasladaba una paleta con PT, subió la rampa, calculó mal y chocó con una baranda causando daño material.
",Daño a las instalaciones,EQUIPO LOGISTICO,,tablero_2025_2026
LURIN 6,2025-05-30,INTRADEVCO,DANO MATERIAL,"El día de hoy a las 12:24 horas, se reportó un incidente con daño material en el patio de maniobra de Lurin 6. La unidad de transporte de residuos sólidos retrocedió y chocó con el soporte del extintor, causando su rotura. 
",Daño a las instalaciones,VEHICULO DE CARGA,,tablero_2025_2026
APT FIDEERIA,2025-06-02,ALICORP,ALTO POTENCIAL,"Aproximadamente a la 1:30 PM, un colaborador OMC se acerca a uno de los montacargas de combustión que se encontraba estacionado en el patio de maniobras y escucha que había una fuga de gas de la parte delantera del equipo. Procede a cerrar la válvula del balón para evitar el pase del gas y se comunica con el analista de turno. Se procede a llamar al equipo de SSOMA quienes brindaron soporte de inmediato. Junto con el personal Inhouse del proveedor se determinó que el origen de la fuga era una manguera rota al interior del montacargas. No se registraron daños personales.",Explosión de balón de gas,BALON DE GLP,,tablero_2025_2026
CD HUACHIPA,2025-06-04,ALICORP,ALTO POTENCIAL,"Aproximadamente a las 05:15 pm, se reportó un incidente de alto potencial en el patio de maniobras de CD Huachipa. El controlador de patio de turno, durante el proceso de dirigir a una unidad de transporte en la maniobra de retroceso (desde una distancia prudente y a un lado de la unidad), tropezó con el sardinel y cayó levemente al gras ubicado al costado de la pared del predio, esto generó que el conductor de la unidad no tenga una alerta oportuna del punto máximo al que debería retroceder e impactó ligeramente la pared.
Ante el contacto de la unidad de transportes con la pared, el conductor detuvo la unidad. El incidente fue reportado de inmediato al jefe de turno.",Potencial daño material o personal,VEHICULO DE CARGA,,tablero_2025_2026
MARGARINAS Y MANTECAS,2025-06-05,ALICORP,ALTO POTENCIAL,"El día de hoy aproximadamente 03:30 pm, se reportó un incidente de alto potencial en el área de margarinas ubicada en planta Copsa.  Durante la recirculación de producto en la línea de margarinas de formato 45gr se produce una fuga de amoniaco líquido por el oring del cilindro del cristalizador de dicha línea.
Al identificar la fuga, se evacuó al personal de planta,  se cerró la válvula de ingreso de amoniaco a dicho equipo por parte del líder de mantecas siguiendo el protocolo de emergencia vigente lográndose contener la fuga. A raíz de este evento, una colaboradora se sintió afectada por dicho gas derivándose al tópico para la atención pertinente.
El incidente se encuentra en investigación.",Intoxicación,SUSTANCIA QUIMICA,,tablero_2025_2026
DETERGENTES CALLAO,2025-06-07,ALICORP,ALTO POTENCIAL,"Durante el desmontaje de la compuerta del transportador de sulfato de sodio realizado por la empresa contratista INFINITO se produjo la caída del motor + transportador durante la maniobra. No se registraron daños personales.
Se realizó el cercado y aseguramiento del área, verificando que no queden equipos suspendidos que puedan generar algún riesgo.
El evento se encuentra en proceso de investigación",Potencial daño material o personal,EQUIPO DE MANUFACTURA,,tablero_2025_2026
JABONERIA,2025-06-07,ALICORP,ALTO POTENCIAL,"El día de hoy, aproximadamente a las 12:45 a. m., se reportó un incidente de alto potencial en la Paila 5, ubicada en la zona de Efluentes (exterior de la planta Jabonería). Se produjo una filtración de ácido sulfúrico hacia el drenaje de la planta, lo que generó una reacción con el agua presente, provocando la emisión de vapores que eventualmente ingresaron al interior de la planta.
Al detectar la presencia de vapor, se procedió de inmediato a evacuar al personal de la planta Jabonería, siguiendo el protocolo de emergencia correspondiente, con el objetivo de contener y controlar la generación de vapores.
Actualmente, el incidente se encuentra bajo investigación.",Intoxicación,SUSTANCIA QUIMICA,,tablero_2025_2026
